Rios Cactus Tios Homens Japoneses
Chineses Americanos Dinossauros Guerrilheiros Sapatos
Canudos Brasileiros Argentinos Cachorros Cantos
Totens Lagos Ventos Lagostins Bares
Caros Bravos Loucos Insanos Violentos
Armados Dourados Medíocres Emburrados Belos
Velhos Blindados Afiados Alcoólatras Fedidos
Amarelos Brisados Doces Improdutivos Superativos
Moças Ladies Mulheres Operárias Mães
Tias Vós Doninhas Abelhas Velas
Câmeras Batalhas Guerras Músicas Canções
Lojas Casas Mesas Toalhas Redes
Velhas Bravas Feias Zangadas Batalhadoras
Sonâmbulas Loucas Cheirosas Malucas Amarelas
Vermelhas Rubras Carmesim Prateadas Vingativas
Ambulantes Mentirosas Iludidas Abrigadas Guerreiras
